ImeDatoteke;Kategorija;ID_Kategorija
ILSVRC2010_val_00000109.JPEG;organ pipe, pipe, pipework;518
ILSVRC2010_val_00000110.JPEG;celandine poppy, wood poppy, Stylophorum diphyllum;129
ILSVRC2010_val_00000111.JPEG;four oclock;118
ILSVRC2010_val_00000112.JPEG;sock;949
ILSVRC2010_val_00000113.JPEG;skunk, polecat, wood pussy;423
ILSVRC2010_val_00000114.JPEG;trolleybus, trolley coach, trackless trolley;797
ILSVRC2010_val_00000115.JPEG;bok choy, bok choi;49
ILSVRC2010_val_00000116.JPEG;manhole cover;981
ILSVRC2010_val_00000117.JPEG;gar, garfish, garpike, billfish, Lepisosteus osseus;498
ILSVRC2010_val_00000118.JPEG;pool ball;749
ILSVRC2010_val_00000119.JPEG;leafhopper;318
ILSVRC2010_val_00000120.JPEG;crash helmet;936
ILSVRC2010_val_00000121.JPEG;silk tree, Albizia julibrissin, Albizzia julibrissin;197
ILSVRC2010_val_00000122.JPEG;headscarf;915
ILSVRC2010_val_00000123.JPEG;cattleya;155
ILSVRC2010_val_00000124.JPEG;sarong;921
ILSVRC2010_val_00000125.JPEG;schooner;786
ILSVRC2010_val_00000126.JPEG;drumstick;652
ILSVRC2010_val_00000127.JPEG;bag, traveling bag, travelling bag, grip, suitcase;731
ILSVRC2010_val_00000128.JPEG;coral tree, erythrina;223
ILSVRC2010_val_00000129.JPEG;millipede, millepede, milliped;289
ILSVRC2010_val_00000130.JPEG;spatula;639
ILSVRC2010_val_00000131.JPEG;helleborine;163
ILSVRC2010_val_00000132.JPEG;centaury;181
ILSVRC2010_val_00000133.JPEG;thimble;698
ILSVRC2010_val_00000134.JPEG;amphibian, amphibious vehicle;667
ILSVRC2010_val_00000135.JPEG;cricket;313
ILSVRC2010_val_00000136.JPEG;hair slide;593
ILSVRC2010_val_00000137.JPEG;toyshop;859
ILSVRC2010_val_00000138.JPEG;padlock;597
ILSVRC2010_val_00000139.JPEG;live oak;204
ILSVRC2010_val_00000140.JPEG;coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch;494
ILSVRC2010_val_00000141.JPEG;China aster, Callistephus chinensis;138
ILSVRC2010_val_00000142.JPEG;tick;286
ILSVRC2010_val_00000143.JPEG;African chameleon, Chamaeleo chamaeleon;465
ILSVRC2010_val_00000144.JPEG;king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica;295
ILSVRC2010_val_00000145.JPEG;oxcart;694
ILSVRC2010_val_00000146.JPEG;Loafer;890
ILSVRC2010_val_00000147.JPEG;combination lock;596
ILSVRC2010_val_00000148.JPEG;lotion;774
ILSVRC2010_val_00000149.JPEG;black olive, ripe olive;3
ILSVRC2010_val_00000150.JPEG;shredder;602
ILSVRC2010_val_00000151.JPEG;American lobster, Northern lobster, Maine lobster, Homarus americanus;296
ILSVRC2010_val_00000152.JPEG;rainbow trout, Salmo gairdneri;495
ILSVRC2010_val_00000153.JPEG;rotisserie;992
ILSVRC2010_val_00000154.JPEG;cucumber, cuke;58
ILSVRC2010_val_00000155.JPEG;partridge;391
ILSVRC2010_val_00000156.JPEG;file, file cabinet, filing cabinet;807
ILSVRC2010_val_00000157.JPEG;stanhopea;177
ILSVRC2010_val_00000158.JPEG;silver maple, Acer saccharinum;254
ILSVRC2010_val_00000159.JPEG;shin guard, shinpad;901
ILSVRC2010_val_00000160.JPEG;spatula;639
ILSVRC2010_val_00000161.JPEG;short pants, shorts, trunks;913
ILSVRC2010_val_00000162.JPEG;scabbard;977
ILSVRC2010_val_00000163.JPEG;langur;413
ILSVRC2010_val_00000164.JPEG;Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis;466
ILSVRC2010_val_00000165.JPEG;toadflax, butter-and-eggs, wild snapdragon, devils flax, Linaria vulgaris;191
ILSVRC2010_val_00000166.JPEG;cashew, cashew nut;96
ILSVRC2010_val_00000167.JPEG;dock, dockage, docking facility;864
ILSVRC2010_val_00000168.JPEG;reflex camera;755
ILSVRC2010_val_00000169.JPEG;iron tree, iron-tree, ironwood, ironwood tree;247
ILSVRC2010_val_00000170.JPEG;brass, memorial tablet, plaque;865
ILSVRC2010_val_00000171.JPEG;moped;679
ILSVRC2010_val_00000172.JPEG;chestnut;97
ILSVRC2010_val_00000173.JPEG;jigsaw puzzle;745
ILSVRC2010_val_00000174.JPEG;fig;20
ILSVRC2010_val_00000175.JPEG;Band Aid;894
ILSVRC2010_val_00000176.JPEG;eyepatch, patch;895
ILSVRC2010_val_00000177.JPEG;hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa;264
ILSVRC2010_val_00000178.JPEG;American black bear, black bear, Ursus americanus, Euarctos americanus;418
ILSVRC2010_val_00000179.JPEG;tansy, golden buttons, scented fern, Tanacetum vulgare;135
ILSVRC2010_val_00000180.JPEG;wallet, billfold, notecase, pocketbook;730
ILSVRC2010_val_00000181.JPEG;strawflower, golden everlasting, yellow paper daisy, Helichrysum bracteatum;132
ILSVRC2010_val_00000182.JPEG;slug;339
ILSVRC2010_val_00000183.JPEG;Madagascar cat, ring-tailed lemur, Lemur catta;396
ILSVRC2010_val_00000184.JPEG;washer, automatic washer, washing machine;1000
ILSVRC2010_val_00000185.JPEG;kit fox, Vulpes macrotis;435
ILSVRC2010_val_00000186.JPEG;bucket, pail;708
ILSVRC2010_val_00000187.JPEG;leopard, Panthera pardus;447
ILSVRC2010_val_00000188.JPEG;quill, quill pen;647
ILSVRC2010_val_00000189.JPEG;hand blower, blow dryer, blow drier, hair dryer, hair drier;527
ILSVRC2010_val_00000190.JPEG;coral tree, erythrina;223
ILSVRC2010_val_00000191.JPEG;streptocarpus;188
ILSVRC2010_val_00000192.JPEG;medicine chest, medicine cabinet;805
ILSVRC2010_val_00000193.JPEG;screwdriver;627
ILSVRC2010_val_00000194.JPEG;delphinium;110
ILSVRC2010_val_00000195.JPEG;eyepatch, patch;895
ILSVRC2010_val_00000196.JPEG;pumpkin seed;87
ILSVRC2010_val_00000197.JPEG;garbage truck, dustcart;682
ILSVRC2010_val_00000198.JPEG;polecat, fitch, foulmart, foumart, Mustela putorius;425
ILSVRC2010_val_00000199.JPEG;tent, collapsible shelter;875
ILSVRC2010_val_00000200.JPEG;grapefruit;18
ILSVRC2010_val_00000201.JPEG;ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle;303
ILSVRC2010_val_00000202.JPEG;wolf spider, hunting spider;285
ILSVRC2010_val_00000203.JPEG;fire screen, fireguard;970
ILSVRC2010_val_00000204.JPEG;spider orchid, Brassia lawrenceana;152
ILSVRC2010_val_00000205.JPEG;matchstick;655
ILSVRC2010_val_00000206.JPEG;sandwort;113
ILSVRC2010_val_00000207.JPEG;cinema, movie theater, movie theatre, movie house, picture palace;843
ILSVRC2010_val_00000208.JPEG;lion, king of beasts, Panthera leo;449
ILSVRC2010_val_00000209.JPEG;butternut squash;57
ILSVRC2010_val_00000210.JPEG;valley, vale;70
ILSVRC2010_val_00000211.JPEG;safety razor;615
ILSVRC2010_val_00000212.JPEG;custard apple;26
ILSVRC2010_val_00000213.JPEG;printer;577
ILSVRC2010_val_00000214.JPEG;leek;63
ILSVRC2010_val_00000215.JPEG;parallel bars, bars;736
ILSVRC2010_val_00000216.JPEG;African elephant, Loxodonta africana;414
ILSVRC2010_val_00000217.JPEG;barbershop;853
ILSVRC2010_val_00000218.JPEG;cornet, horn, trumpet, trump;514
ILSVRC2010_val_00000219.JPEG;Welsh poppy, Meconopsis cambrica;128
ILSVRC2010_val_00000220.JPEG;ski mask;975
ILSVRC2010_val_00000221.JPEG;truffle, earthnut, earth-ball;261
ILSVRC2010_val_00000222.JPEG;bridge, span;830
ILSVRC2010_val_00000223.JPEG;doormat, welcome mat;897
ILSVRC2010_val_00000224.JPEG;umbrella;980
ILSVRC2010_val_00000225.JPEG;tiger, Panthera tigris;446
ILSVRC2010_val_00000226.JPEG;garter snake, grass snake;472
ILSVRC2010_val_00000227.JPEG;mortarboard;940
ILSVRC2010_val_00000228.JPEG;whistle;525
ILSVRC2010_val_00000229.JPEG;refrigerator, icebox;999
ILSVRC2010_val_00000230.JPEG;American white birch, paper birch, paperbark birch, canoe birch, Betula cordifolia, Betula papyrifera;209
ILSVRC2010_val_00000231.JPEG;dial telephone, dial phone;765
ILSVRC2010_val_00000232.JPEG;dahlia, Dahlia pinnata;143
ILSVRC2010_val_00000233.JPEG;puffball, true puffball;270
ILSVRC2010_val_00000234.JPEG;quill, quill pen;647
ILSVRC2010_val_00000235.JPEG;table-tennis table, ping-pong table, pingpong table;817
ILSVRC2010_val_00000236.JPEG;butternut squash;57
ILSVRC2010_val_00000237.JPEG;celery;65
ILSVRC2010_val_00000238.JPEG;scorpionweed, scorpion weed, phacelia;189
ILSVRC2010_val_00000239.JPEG;litchi, litchi nut, litchee, lichi, leechee, lichee, lychee;31
ILSVRC2010_val_00000240.JPEG;broccoli;51
ILSVRC2010_val_00000241.JPEG;long-horned beetle, longicorn, longicorn beetle;305
ILSVRC2010_val_00000242.JPEG;dragonfly, darning needle, devils darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk;321
ILSVRC2010_val_00000243.JPEG;weevil;307
ILSVRC2010_val_00000244.JPEG;colobus, colobus monkey;407
ILSVRC2010_val_00000245.JPEG;lizard orchid, Himantoglossum hircinum;166
ILSVRC2010_val_00000246.JPEG;giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca;428
ILSVRC2010_val_00000247.JPEG;chest;725
ILSVRC2010_val_00000248.JPEG;Arctic fox, white fox, Alopex lagopus;438
ILSVRC2010_val_00000249.JPEG;cherry;24
ILSVRC2010_val_00000250.JPEG;thresher, thrasher, threshing machine;576
ILSVRC2010_val_00000251.JPEG;mask;886
ILSVRC2010_val_00000252.JPEG;bolete;272
ILSVRC2010_val_00000253.JPEG;buckeye, horse chestnut, conker;92
ILSVRC2010_val_00000254.JPEG;tennis ball;752
ILSVRC2010_val_00000255.JPEG;file, file cabinet, filing cabinet;807
ILSVRC2010_val_00000256.JPEG;buckeye, horse chestnut, conker;92
ILSVRC2010_val_00000257.JPEG;dining table, board;818
ILSVRC2010_val_00000258.JPEG;rifle;561
ILSVRC2010_val_00000259.JPEG;swivel chair;814
ILSVRC2010_val_00000260.JPEG;water tower;714
ILSVRC2010_val_00000261.JPEG;fishing rod, fishing pole;646
ILSVRC2010_val_00000262.JPEG;scorpion;279
ILSVRC2010_val_00000263.JPEG;alligator lizard;462
ILSVRC2010_val_00000264.JPEG;pussy willow, Salix discolor;230
ILSVRC2010_val_00000265.JPEG;pajama, pyjama;912
ILSVRC2010_val_00000266.JPEG;spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish;297
ILSVRC2010_val_00000267.JPEG;Brazilian rosewood, caviuna wood, jacaranda, Dalbergia nigra;221
ILSVRC2010_val_00000268.JPEG;vase;706
ILSVRC2010_val_00000269.JPEG;chessman, chess piece;747
ILSVRC2010_val_00000270.JPEG;ilang-ilang, ylang-ylang, Cananga odorata;238
ILSVRC2010_val_00000271.JPEG;sewing machine;580
ILSVRC2010_val_00000272.JPEG;lettuce;39
ILSVRC2010_val_00000273.JPEG;shopping cart;661
ILSVRC2010_val_00000274.JPEG;church, church building;837
ILSVRC2010_val_00000275.JPEG;bookshop, bookstore, bookstall;854
ILSVRC2010_val_00000276.JPEG;polecat, fitch, foulmart, foumart, Mustela putorius;425
ILSVRC2010_val_00000277.JPEG;basketball;737
ILSVRC2010_val_00000278.JPEG;slug;339
ILSVRC2010_val_00000279.JPEG;thresher, thrasher, threshing machine;576
ILSVRC2010_val_00000280.JPEG;green pea, garden pea;36
ILSVRC2010_val_00000281.JPEG;obelisk;848
ILSVRC2010_val_00000282.JPEG;medicine chest, medicine cabinet;805
ILSVRC2010_val_00000283.JPEG;jack-o-lantern;606
ILSVRC2010_val_00000284.JPEG;pendulum clock;546
ILSVRC2010_val_00000285.JPEG;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;684
ILSVRC2010_val_00000286.JPEG;dogsled, dog sled, dog sleigh;794
ILSVRC2010_val_00000287.JPEG;maraca;506
ILSVRC2010_val_00000288.JPEG;lumbermill, sawmill;845
ILSVRC2010_val_00000289.JPEG;long-horned beetle, longicorn, longicorn beetle;305
ILSVRC2010_val_00000290.JPEG;feather boa, boa;914
ILSVRC2010_val_00000291.JPEG;Scottish deerhound, deerhound;364
ILSVRC2010_val_00000292.JPEG;hyena, hyaena;434
ILSVRC2010_val_00000293.JPEG;African daisy;147
ILSVRC2010_val_00000294.JPEG;Siamese cat, Siamese;352
ILSVRC2010_val_00000295.JPEG;knot;595
ILSVRC2010_val_00000296.JPEG;mink;421
ILSVRC2010_val_00000297.JPEG;snowmobile;688
ILSVRC2010_val_00000298.JPEG;shaver, electric shaver, electric razor;616
ILSVRC2010_val_00000299.JPEG;weasel;424
ILSVRC2010_val_00000300.JPEG;pimento, pimiento;43
ILSVRC2010_val_00000301.JPEG;projector;552
ILSVRC2010_val_00000302.JPEG;French horn, horn;515
ILSVRC2010_val_00000303.JPEG;Newfoundland, Newfoundland dog;369
ILSVRC2010_val_00000304.JPEG;bassinet;799
ILSVRC2010_val_00000305.JPEG;quince;33
ILSVRC2010_val_00000306.JPEG;mountain ash;252
ILSVRC2010_val_00000307.JPEG;Bouvier des Flandres, Bouviers des Flandres;375
ILSVRC2010_val_00000308.JPEG;sarong;921
ILSVRC2010_val_00000309.JPEG;photocopier;768
ILSVRC2010_val_00000310.JPEG;sundial;548
ILSVRC2010_val_00000311.JPEG;guava;30
ILSVRC2010_val_00000312.JPEG;umbrella;980
ILSVRC2010_val_00000313.JPEG;revolver, six-gun, six-shooter;560
ILSVRC2010_val_00000314.JPEG;bell cote, bell cot;979
ILSVRC2010_val_00000315.JPEG;lakeside, lakeshore;77
ILSVRC2010_val_00000316.JPEG;boa constrictor, Constrictor constrictor;476
ILSVRC2010_val_00000317.JPEG;paper clip, paperclip, gem clip;594
ILSVRC2010_val_00000318.JPEG;basketball;737
ILSVRC2010_val_00000319.JPEG;jeep, landrover;672
ILSVRC2010_val_00000320.JPEG;stole;916
ILSVRC2010_val_00000321.JPEG;Christmas stocking;950
ILSVRC2010_val_00000322.JPEG;confectionery, confectionary, candy store;856
ILSVRC2010_val_00000323.JPEG;moth;329
ILSVRC2010_val_00000324.JPEG;lunar crater;69
ILSVRC2010_val_00000325.JPEG;convertible;671
ILSVRC2010_val_00000326.JPEG;stone wall;872
ILSVRC2010_val_00000327.JPEG;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;684
ILSVRC2010_val_00000328.JPEG;kumquat;16
ILSVRC2010_val_00000329.JPEG;recreational vehicle, RV, R.V.;686
ILSVRC2010_val_00000330.JPEG;caldron, cauldron;636
ILSVRC2010_val_00000331.JPEG;lab coat, laboratory coat;925
ILSVRC2010_val_00000332.JPEG;fountain pen;649
ILSVRC2010_val_00000333.JPEG;snow leopard, ounce, Panthera uncia;448
ILSVRC2010_val_00000334.JPEG;ant, emmet, pismire;310
ILSVRC2010_val_00000335.JPEG;Border collie;376
ILSVRC2010_val_00000336.JPEG;web site, website, internet site, site;574
ILSVRC2010_val_00000337.JPEG;calceolaria, slipperwort;190
ILSVRC2010_val_00000338.JPEG;dishwasher, dish washer, dishwashing machine;998
ILSVRC2010_val_00000339.JPEG;Arctic fox, white fox, Alopex lagopus;438
ILSVRC2010_val_00000340.JPEG;American beech, white beech, red beech, Fagus grandifolia, Fagus americana;202
ILSVRC2010_val_00000341.JPEG;lunar crater;69
ILSVRC2010_val_00000342.JPEG;fiddler crab;294
ILSVRC2010_val_00000343.JPEG;brassavola;151
ILSVRC2010_val_00000344.JPEG;cliff dwelling;862
ILSVRC2010_val_00000345.JPEG;laurel;239
ILSVRC2010_val_00000346.JPEG;fig;20
ILSVRC2010_val_00000347.JPEG;golfcart, golf cart;678
ILSVRC2010_val_00000348.JPEG;Madagascar cat, ring-tailed lemur, Lemur catta;396
ILSVRC2010_val_00000349.JPEG;pistachio, pistachio nut;101
ILSVRC2010_val_00000350.JPEG;rotisserie;992
ILSVRC2010_val_00000351.JPEG;refrigerator, icebox;999
ILSVRC2010_val_00000352.JPEG;pin;599
ILSVRC2010_val_00000353.JPEG;artichoke, globe artichoke;59
ILSVRC2010_val_00000354.JPEG;Oregon maple, big-leaf maple, Acer macrophyllum;255
ILSVRC2010_val_00000355.JPEG;coyote, prairie wolf, brush wolf, Canis latrans;440
ILSVRC2010_val_00000356.JPEG;bow tie, bow-tie, bowtie;917
ILSVRC2010_val_00000357.JPEG;coneflower;144
ILSVRC2010_val_00000358.JPEG;vase;706
ILSVRC2010_val_00000359.JPEG;stone wall;872
ILSVRC2010_val_00000360.JPEG;coffee bean, coffee berry, coffee;89
ILSVRC2010_val_00000361.JPEG;umbrella;980
ILSVRC2010_val_00000362.JPEG;upright, upright piano;502
ILSVRC2010_val_00000363.JPEG;plow, plough;631
ILSVRC2010_val_00000364.JPEG;bee;311
ILSVRC2010_val_00000365.JPEG;ptarmigan;386
ILSVRC2010_val_00000366.JPEG;pumpkin;67
ILSVRC2010_val_00000367.JPEG;tumble-dryer, tumble drier;984
ILSVRC2010_val_00000368.JPEG;volleyball;751
ILSVRC2010_val_00000369.JPEG;cosmos, cosmea;142
ILSVRC2010_val_00000370.JPEG;minivan;674
ILSVRC2010_val_00000371.JPEG;bobsled, bobsleigh, bob;793
ILSVRC2010_val_00000372.JPEG;agama;460
ILSVRC2010_val_00000373.JPEG;crutch;653
ILSVRC2010_val_00000374.JPEG;trowel;629
ILSVRC2010_val_00000375.JPEG;guenon, guenon monkey;408
ILSVRC2010_val_00000376.JPEG;bolete;272
ILSVRC2010_val_00000377.JPEG;grape;25
ILSVRC2010_val_00000378.JPEG;broccoli;51
ILSVRC2010_val_00000379.JPEG;armchair;811
ILSVRC2010_val_00000380.JPEG;beacon, lighthouse, beacon light, pharos;879
ILSVRC2010_val_00000381.JPEG;coyote, prairie wolf, brush wolf, Canis latrans;440
ILSVRC2010_val_00000382.JPEG;ice maker;989
ILSVRC2010_val_00000383.JPEG;cattleya;155
ILSVRC2010_val_00000384.JPEG;eggbeater, eggwhisk;640
ILSVRC2010_val_00000385.JPEG;Yorkshire terrier;362
ILSVRC2010_val_00000386.JPEG;fig;20
ILSVRC2010_val_00000387.JPEG;mortarboard;940
ILSVRC2010_val_00000388.JPEG;African elephant, Loxodonta africana;414
ILSVRC2010_val_00000389.JPEG;lunar crater;69
ILSVRC2010_val_00000390.JPEG;spider monkey, Ateles geoffroyi;404
ILSVRC2010_val_00000391.JPEG;fig, common fig, common fig tree, Ficus carica;214
ILSVRC2010_val_00000392.JPEG;barn;831
ILSVRC2010_val_00000393.JPEG;red beech, brown oak, booyong, crows foot, stave wood, silky elm, Heritiera trifoliolata, Terrietia trifoliolata;244
ILSVRC2010_val_00000394.JPEG;beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon;669
ILSVRC2010_val_00000395.JPEG;violin, fiddle;510
ILSVRC2010_val_00000396.JPEG;shin guard, shinpad;901
ILSVRC2010_val_00000397.JPEG;pin oak, swamp oak, Quercus palustris;206
ILSVRC2010_val_00000398.JPEG;projector;552
ILSVRC2010_val_00000399.JPEG;otter;426
ILSVRC2010_val_00000400.JPEG;pool table, billiard table, snooker table;743
ILSVRC2010_val_00000401.JPEG;lycaenid, lycaenid butterfly;328
ILSVRC2010_val_00000402.JPEG;scorpion;279
ILSVRC2010_val_00000403.JPEG;wardrobe, closet, press;820
ILSVRC2010_val_00000404.JPEG;Venetian blind;964
ILSVRC2010_val_00000405.JPEG;earphone, earpiece, headphone, phone;530
ILSVRC2010_val_00000406.JPEG;candle, taper, wax light;603
ILSVRC2010_val_00000407.JPEG;boathouse;836
ILSVRC2010_val_00000408.JPEG;oilskin, slicker;924
ILSVRC2010_val_00000409.JPEG;custard apple;26
ILSVRC2010_val_00000410.JPEG;siamang, Hylobates syndactylus, Symphalangus syndactylus;400
ILSVRC2010_val_00000411.JPEG;barber chair;812
ILSVRC2010_val_00000412.JPEG;mashed potato;2
ILSVRC2010_val_00000413.JPEG;planetarium;840
ILSVRC2010_val_00000414.JPEG;wattle;195
ILSVRC2010_val_00000415.JPEG;trimaran;788
ILSVRC2010_val_00000416.JPEG;basenji;372
ILSVRC2010_val_00000417.JPEG;sea anemone, anemone;332
